Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Yan Gomes,35,116,419,382,44,102,20,2,10,63,1,0,21,81,0.267,0.315,0.408,0.723,93,156,9,9,0,7,1,Right,No
2,2023,1B,Trey Mancini,31,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,71,79,5,2,0,3,1,Right,No
3,2023,2B,Nico Hoerner,26,150,688,619,98,175,27,4,9,68,43,7,49,83,0.283,0.346,0.383,0.729,97,237,12,14,1,5,0,Right,No
4,2023,SS,Dansby Swanson,29,147,638,565,81,138,25,3,22,80,9,1,66,154,0.244,0.328,0.416,0.744,99,235,9,5,0,2,0,Right,No
5,2023,3B,Nick Madrigal,26,92,294,270,34,71,16,1,2,28,10,2,10,24,0.263,0.311,0.352,0.663,79,95,3,9,5,0,0,Right,No
6,2023,LF,Ian Happ,28,158,691,580,86,144,35,4,21,84,14,3,99,153,0.248,0.36,0.431,0.791,112,250,12,6,0,6,2,Right,Yes
7,2023,CF,Cody Bellinger,27,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,133,262,7,5,0,12,3,Left,No
8,2023,RF,Seiya Suzuki,28,138,583,515,75,147,31,6,20,74,6,7,59,130,0.285,0.357,0.485,0.842,124,250,8,2,0,7,3,Right,No
9,2023,DH,Christopher Morel,24,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,116,197,7,2,1,2,0,Right,No
10,2023,CF,Mike Tauchman,32,108,401,337,64,85,18,0,8,48,7,1,56,86,0.252,0.363,0.377,0.739,100,127,3,4,1,3,1,Left,No
11,2023,3B,Patrick Wisdom,31,97,302,268,43,55,8,1,23,46,4,2,30,111,0.205,0.289,0.5,0.789,107,134,4,2,1,1,0,Right,No
12,2023,CI,Jeimer Candelario,29,41,157,137,20,32,9,1,6,17,2,0,17,39,0.234,0.318,0.445,0.764,103,61,1,1,0,2,0,Right,Yes
13,2023,C,Miguel Amaya,24,53,156,131,17,28,4,0,5,18,0,0,12,40,0.214,0.329,0.359,0.688,86,47,2,11,1,1,0,Right,No
14,2023,3B,Miles Mastrobuoni,27,60,149,133,24,32,5,0,1,5,13,1,13,32,0.241,0.308,0.301,0.609,65,40,1,0,3,0,0,Left,No
15,2023,C,Tucker Barnhart,32,43,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,48,28,4,1,0,1,0,Left,No
16,2023,DH,Eric Hosmer,33,31,100,94,7,22,3,0,2,14,0,0,6,25,0.234,0.28,0.33,0.61,64,31,5,0,0,0,0,Left,No
17,2023,1B,Matt Mervis,25,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,43,26,1,1,0,0,0,Left,No
18,2023,1B,Jared Young,27,16,47,43,8,8,0,3,2,8,2,0,3,13,0.186,0.255,0.465,0.72,88,20,1,1,0,0,0,Left,No
19,2023,DH,Edwin Rios,29,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.45,23,6,0,1,0,0,0,Left,No
20,2023,OF,Nelson Velázquez,24,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,143,18,1,0,0,0,0,Right,No
21,2023,DH,Luis Torrens,27,13,22,20,1,5,1,0,0,3,0,0,1,8,0.25,0.318,0.3,0.618,68,6,0,1,0,0,0,Right,No
22,2023,CF,Pete Crow-Armstrong,21,13,19,14,3,0,0,0,0,1,2,2,3,7,0.0,0.176,0.0,0.176,-46,0,0,0,2,0,0,Left,No
23,2023,OF,Alexander Canario,23,6,17,17,1,5,1,1,1,6,0,0,0,8,0.294,0.294,0.647,0.941,143,11,0,0,0,0,0,Right,No
24,2023,P,Michael Fulmer,30,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
25,2023,P,Jeremiah Estrada,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
26,2023,P,Jameson Taillon,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
27,2023,P,Justin Steele,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
28,2023,P,Tyler Duffey,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
29,2023,P,Keegan Thompson,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2023,P,Drew Smyly,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
31,2023,P,Javier Assad,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
32,2023,P,Kyle Hendricks,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
33,2023,P,Hayden Wesneski,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2023,P,Jordan Wicks,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
35,2023,P,Brad Boxberger,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2023,P,Brandon Hughes,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
37,2023,P,Adbert Alzolay,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2023,P,Daniel Palencia,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
39,2023,P,Marcus Stroman,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
40,2023,P,José Cuas,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2023,P,Julian Merryweather,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2023,P,Anthony Kay,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
43,2023,P,Caleb Kilian,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2023,P,Nick Burdi,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2023,P,Mark Leiter Jr.,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2023,P,Shane Greene,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2023,P,Luke Little,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
48,2023,P,Michael Rucker,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2022,C,Willson Contreras,30,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,126,194,14,24,0,2,0,Right,No
2,2022,1B,Alfonso Rivas,25,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,77,77,1,4,1,2,1,Left,No
3,2022,2B,Nick Madrigal,25,59,228,209,19,52,7,0,0,7,3,1,14,27,0.249,0.305,0.282,0.588,66,59,6,3,2,0,0,Right,No
4,2022,SS,Nico Hoerner,25,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,105,197,11,6,0,2,4,Right,No
5,2022,3B,Patrick Wisdom,30,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,100,200,8,9,1,2,1,Right,No
6,2022,LF,Ian Happ,27,158,641,573,72,155,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,117,252,11,6,0,4,4,Right,Yes
7,2022,CF,Christopher Morel,23,113,425,379,55,89,19,4,16,47,10,7,38,137,0.235,0.308,0.433,0.741,104,164,6,3,3,2,0,Right,No
8,2022,RF,Seiya Suzuki,27,111,446,397,54,104,22,2,14,46,9,5,42,110,0.262,0.336,0.433,0.77,113,172,8,4,0,3,3,Right,No
9,2022,DH,Franmil Reyes,26,48,193,175,19,41,8,2,5,19,0,1,16,53,0.234,0.301,0.389,0.689,91,68,4,1,0,1,0,Right,No
10,2022,CF,Rafael Ortega,31,118,371,316,35,76,14,1,7,35,12,7,44,74,0.241,0.331,0.358,0.688,93,113,10,2,1,7,2,Left,No
11,2022,C,Yan Gomes,34,86,293,277,23,65,12,0,8,31,2,0,8,47,0.235,0.26,0.365,0.625,72,101,15,3,1,4,0,Right,No
12,2022,1B,Frank Schwindel,30,75,292,271,23,62,11,0,8,36,0,0,19,58,0.229,0.277,0.358,0.635,76,97,12,0,0,2,1,Right,No
13,2022,UT,P.J. Higgins,29,74,229,201,23,46,11,1,6,30,0,0,22,58,0.229,0.31,0.383,0.693,93,77,2,2,3,1,0,Right,No
14,2022,OF,Nelson Velázquez,23,77,206,185,20,38,7,3,6,26,5,2,19,65,0.205,0.286,0.373,0.659,83,69,5,2,0,0,0,Right,No
15,2022,IF,Zach McKinstry,27,47,171,155,17,32,6,3,4,12,7,0,13,48,0.206,0.272,0.361,0.633,75,56,0,1,2,0,0,Left,No
16,2022,2B,Jonathan Villar,31,46,166,153,19,34,6,2,2,15,6,0,11,42,0.222,0.271,0.327,0.598,66,50,3,0,0,2,0,Right,Yes
17,2022,OF,Jason Heyward,32,48,151,137,15,28,5,1,1,10,1,0,11,32,0.204,0.278,0.277,0.556,56,38,3,3,0,0,0,Left,No
18,2022,IF,David Bote,29,41,127,116,15,30,8,0,4,12,1,0,6,45,0.259,0.315,0.431,0.746,106,50,3,4,0,1,0,Right,No
19,2022,MI,Andrelton Simmons,32,34,85,75,8,13,1,0,0,7,4,0,7,13,0.173,0.244,0.187,0.431,23,14,5,0,3,0,0,Right,No
20,2022,CF,Michael Hermosillo,27,31,73,61,7,7,2,0,0,4,1,0,7,27,0.115,0.25,0.148,0.398,15,9,0,4,1,0,0,Right,No
21,2022,2B,Esteban Quiroz,30,14,47,40,3,11,0,0,0,3,1,1,4,9,0.275,0.37,0.275,0.645,85,11,0,2,1,0,0,Left,No
22,2022,OF,Clint Frazier,27,19,45,37,4,8,3,0,0,1,1,0,7,11,0.216,0.356,0.297,0.653,86,11,1,1,0,0,0,Right,No
23,2022,MI,Ildemaro Vargas,30,10,26,23,4,3,0,1,1,4,0,0,3,2,0.13,0.231,0.348,0.579,59,8,1,0,0,0,0,Right,Yes
24,2022,UT,Jared Young,26,6,22,19,2,5,2,0,0,0,1,0,3,7,0.263,0.364,0.368,0.732,106,7,0,0,0,0,0,Left,No
25,2022,OF,Narciso Crook,26,4,9,8,1,2,1,0,0,2,0,0,0,3,0.25,0.222,0.375,0.597,63,3,1,0,0,1,0,Right,No
26,2022,P,David Robertson,37,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
27,2022,P,Brendon Little,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
28,2022,P,Eric Stout,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
29,2022,P,Jeremiah Estrada,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
30,2022,P,Justin Steele,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
31,2022,P,Sean Newcomb,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
32,2022,P,Luke Farrell,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
33,2022,P,Drew Smyly,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
34,2022,P,Ethan Roberts,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2022,P,Scott Effross,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2022,P,Adrian Sampson,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
37,2022,P,Manuel Rodríguez,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2022,P,Rowan Wick,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
39,2022,P,Conner Menez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
40,2022,P,Caleb Kilian,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2022,P,Alec Mills,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2022,P,Locke St. John,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
43,2022,P,Anderson Espinoza,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2022,P,Jesse Chavez,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2022,P,Mark Leiter Jr.,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2022,P,Michael Rucker,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2022,P,Steven Brault,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
48,2022,P,Keegan Thompson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2022,P,Javier Assad,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2022,P,Kyle Hendricks,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2022,P,Wade Miley,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
52,2022,P,Hayden Wesneski,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
53,2022,P,Kervin Castro,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
54,2022,P,Matt Dermody,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
55,2022,P,Brandon Hughes,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
56,2022,P,Adbert Alzolay,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
57,2022,P,Marcus Stroman,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
58,2022,P,Mychal Givens,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
59,2022,P,Chris Martin,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
60,2022,P,Erich Uelmen,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
61,2022,P,Robert Gsellman,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
62,2022,P,Matt Swarmer,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
63,2022,P,Daniel Norris,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
64,2022,P,Nicholas Padilla,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2021,C,Willson Contreras,29,128,483,413,61,98,20,0,21,57,5,4,52,138,0.237,0.34,0.438,0.778,109,181,11,14,0,4,1,Right,No
2,2021,1B,Anthony Rizzo,31,92,376,323,41,80,16,3,14,40,4,2,36,59,0.248,0.346,0.446,0.792,113,144,10,14,0,3,2,Left,No
3,2021,2B,David Bote,28,97,327,291,32,58,10,2,8,35,0,1,27,73,0.199,0.276,0.33,0.606,64,96,13,5,1,3,0,Right,No
4,2021,SS,Javier Báez,28,91,361,335,48,83,9,2,22,65,13,3,15,131,0.248,0.292,0.484,0.775,105,162,7,7,0,3,1,Right,No
5,2021,3B,Patrick Wisdom,29,106,375,338,54,78,13,0,28,61,4,1,32,153,0.231,0.305,0.518,0.823,118,175,7,4,0,0,1,Right,No
6,2021,LF,Joc Pederson,29,73,287,256,35,59,11,2,11,39,2,3,22,74,0.23,0.3,0.418,0.718,92,107,5,5,0,4,0,Left,No
7,2021,CF,Rafael Ortega,30,103,330,296,44,86,14,2,11,33,12,6,30,70,0.291,0.36,0.463,0.823,121,137,3,2,2,0,1,Left,No
8,2021,RF,Jason Heyward,31,104,353,323,35,69,15,2,8,30,5,1,27,68,0.214,0.28,0.347,0.627,69,112,4,3,0,0,1,Left,No
9,2021,OF,Ian Happ,26,148,535,465,63,105,20,1,25,66,9,2,62,156,0.226,0.323,0.434,0.757,103,202,12,5,2,1,0,Right,Yes
10,2021,UT,Kris Bryant,29,93,374,326,58,87,19,2,18,51,4,2,39,89,0.267,0.358,0.503,0.861,130,164,6,8,0,1,1,Right,No
11,2021,IF,Matt Duffy,30,97,322,289,45,83,12,0,5,30,8,1,25,63,0.287,0.357,0.381,0.738,101,110,16,7,0,1,0,Right,No
12,2021,MI,Sergio Alcántara,24,89,255,220,30,45,6,3,5,17,3,0,30,74,0.205,0.303,0.327,0.63,72,72,3,2,1,2,2,Right,Yes
13,2021,1B,Frank Schwindel,29,56,239,222,42,76,19,1,13,40,2,1,16,36,0.342,0.389,0.613,1.002,166,136,4,1,0,0,2,Right,No
14,2021,2B,Eric Sogard,35,78,180,169,16,42,6,1,1,12,3,1,9,30,0.249,0.283,0.314,0.597,62,53,5,0,0,2,1,Left,No
15,2021,2B,Nico Hoerner,24,44,170,149,13,45,10,0,0,16,5,3,17,25,0.302,0.382,0.369,0.751,106,55,3,3,0,1,3,Right,No
16,2021,CF,Jake Marisnick,30,65,144,128,17,29,6,3,5,22,3,1,9,43,0.227,0.294,0.438,0.731,95,56,2,4,1,2,0,Right,No
17,2021,C,Robinson Chirinos,37,45,112,97,13,22,5,1,5,15,0,0,9,36,0.227,0.324,0.454,0.778,108,44,2,5,1,0,0,Right,No
18,2021,SS,Andrew Romine,35,26,64,60,7,11,2,0,1,5,0,1,4,24,0.183,0.234,0.267,0.501,36,16,1,0,0,0,0,Right,Yes
19,2021,C,Austin Romine,32,28,62,60,5,13,2,0,1,5,0,0,2,22,0.217,0.242,0.3,0.542,46,18,4,0,0,0,0,Right,No
20,2021,UT,Alfonso Rivas,24,18,49,44,7,14,1,0,1,3,0,0,4,16,0.318,0.388,0.409,0.797,117,18,1,1,0,0,0,Left,No
21,2021,OF,Nick Martini,31,25,45,37,4,10,1,0,0,4,0,1,6,10,0.27,0.356,0.297,0.653,80,11,0,0,0,2,1,Left,No
22,2021,OF,Michael Hermosillo,26,16,38,36,5,7,2,0,3,7,0,0,1,12,0.194,0.237,0.5,0.737,92,18,3,1,0,0,0,Right,No
23,2021,OF,Trayce Thompson,30,15,35,28,6,7,1,0,4,9,2,0,7,11,0.25,0.4,0.714,1.114,194,20,2,0,0,0,0,Right,No
24,2021,OF,Johneshwy Fargas,26,15,32,31,3,7,0,1,0,2,1,2,1,8,0.226,0.25,0.29,0.54,46,9,2,0,0,0,0,Right,No
25,2021,OF,Greg Deichmann,26,14,31,30,0,4,0,0,0,1,0,0,1,14,0.133,0.161,0.133,0.295,-18,4,0,0,0,0,0,Left,No
26,2021,C,Tony Wolters,29,14,30,24,3,3,0,0,0,0,0,1,5,12,0.125,0.276,0.125,0.401,15,3,1,0,1,0,0,Left,No
27,2021,UT,P.J. Higgins,28,9,25,23,1,1,0,0,0,0,0,0,2,8,0.043,0.12,0.043,0.163,-53,1,2,0,0,0,0,Right,No
28,2021,MI,Ildemaro Vargas,29,9,24,21,3,3,2,0,0,2,1,0,3,7,0.143,0.25,0.238,0.488,34,5,1,0,0,0,0,Right,Yes
29,2021,2B,Trent Giambrone,27,5,13,13,0,2,0,0,0,0,0,0,0,4,0.154,0.154,0.154,0.308,-16,2,0,0,0,0,0,Right,No
30,2021,C,José Lobatón,36,6,13,11,1,0,0,0,0,0,0,0,2,5,0.0,0.154,0.0,0.154,-53,0,0,0,0,0,0,Right,Yes
31,2021,C,Erick Castillo,28,4,9,8,0,2,0,0,0,0,0,0,1,1,0.25,0.333,0.25,0.583,62,2,0,0,0,0,0,Right,No
32,2021,UT,Taylor Gushue,27,2,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,Yes
33,2021,C,Tyler Payne,28,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
34,2021,,Tyler Ladendorf,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,2021,P,Kyle Hendricks,31,30,61,52,3,6,1,0,0,1,0,0,2,26,0.115,0.148,0.135,0.283,-22,7,0,0,7,0,0,Right,No
36,2021,P,Zach Davies,28,31,44,34,2,6,0,0,0,2,0,0,0,8,0.176,0.176,0.176,0.353,-4,6,0,0,10,0,0,Right,No
37,2021,P,Alec Mills,29,31,36,32,1,1,1,0,0,0,0,0,0,26,0.031,0.031,0.063,0.094,-75,2,0,0,4,0,0,Right,No
38,2021,P,Adbert Alzolay,26,28,33,31,1,2,1,0,0,0,0,0,1,13,0.065,0.094,0.097,0.191,-48,3,1,0,1,0,0,Right,No
39,2021,P,Jake Arrieta,35,20,26,21,2,2,0,0,0,0,0,0,2,16,0.095,0.208,0.095,0.304,-13,2,0,1,2,0,0,Right,No
40,2021,P,Trevor Williams,29,12,20,18,1,4,0,0,0,1,0,0,1,6,0.222,0.263,0.222,0.485,34,4,0,0,1,0,0,Right,No
41,2021,P,Justin Steele,25,17,13,13,3,2,0,0,0,0,0,0,0,4,0.154,0.154,0.154,0.308,-16,2,1,0,0,0,0,Left,No
42,2021,P,Adrian Sampson,29,10,11,7,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0,0,0,4,0,0,Right,No
43,2021,P,Keegan Thompson,26,29,8,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-9,1,1,0,2,0,0,Right,No
44,2021,P,Kohl Stewart,26,4,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,82,1,0,0,0,0,0,Right,No
45,2021,P,Cory Abbott,25,8,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,82,1,0,0,0,0,0,Right,No
46,2021,P,Rex Brothers,33,54,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
47,2021,P,Kyle Ryan,29,13,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
48,2021,P,Tommy Nance,30,27,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
49,2021,P,Robert Stock,31,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
50,2021,P,Scott Effross,27,13,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,Right,No
51,2021,P,Manuel Rodríguez,24,17,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
52,2021,P,Jake Jewell,28,10,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
53,2021,P,Dan Winkler,31,45,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
54,2021,P,Michael Rucker,27,19,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
55,2021,P,Craig Kimbrel,33,37,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
56,2021,P,Shelby Miller,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
57,2021,P,Joe Biagini,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
58,2021,P,Ryan Meisinger,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
59,2021,P,Ryan Tepera,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
60,2021,P,Rowan Wick,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
61,2021,P,Adam Morgan,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
